position,link,title,source,date,snippet,thumbnail
1,https://www.hindustantimes.com/real-estate/mumbai-real-estate-news-oberoi-realty-to-redevelop-land-on-carter-road-in-bandra-west-101722331546127.html,Mumbai real estate news: Oberoi Realty to redevelop land on Carter Road in Bandra West,Hindustan Times,5 days ago,"Oberoi Realty has signed a development agreement for development and 
redevelopment of land measuring 2576 sq m at Carter Road in Bandra...",https://serpapi.com/searches/66afb6722ff4215091ad2aa7/images/1627403dc420c62e13077a792fd5d909325502ba07231579293253ff77c9333d.jpeg
2,https://www.constructionworld.in/latest-construction-news/real-estate-news/oberoi-realty-to-develop-land-in-bandra-west-mumbai/59998,"Oberoi Realty to Develop Land in Bandra West, Mumbai",Construction World,2 days ago,"Oberoi Realty, a prominent real estate developer, has announced its plans 
to develop a prime parcel of land measuring 2,576 square metres in...",https://serpapi.com/searches/66afb6722ff4215091ad2aa7/images/1627403dc420c62ed58b70fbf2d0626801aa194c09db851ef5ccea298ea89349.jpeg
3,https://www.mid-day.com/lifestyle/food/article/are-restaurants-in-bandra-west-influencing-the-soaring-real-estate-prices-23365780,Are restaurants in Bandra West influencing the soaring real estate prices?,Mid-day,2 weeks ago,"At a time when Bandra West is booming with restaurants, cafes and bars, 
those from outside are finding it difficult to afford the rent in...",https://serpapi.com/searches/66afb6722ff4215091ad2aa7/images/1627403dc420c62e425a3d906f732efcac990364e475903dcb8a9647f3baaed4.jpeg
4,https://www.moneycontrol.com/news/business/real-estate/raymond-group-announces-1st-project-in-mumbai-real-estate-market-at-bandra-aims-to-rake-in-over-rs-2000-cr-12312131.html,"Raymond Group announces 1st project in Mumbai real estate market at Bandra, aims to rake in over Rs 2,000...",Moneycontrol,"Feb 20, 2024",Raymond Group's first project in the Mumbai real estate market at Bandra...,https://serpapi.com/searches/66afb6722ff4215091ad2aa7/images/1627403dc420c62e422594cf5d7fdb93de5ecca1702584d28d6bb3e7c311142c.jpeg
5,https://www.timesnownews.com/business-economy/real-estate/actress-pooja-hegde-buys-luxury-property-worth-rs-45-crore-in-mumbais-bandra-report-article-109268209,Actress Pooja Hegde Buys Luxury Property Worth Rs 45 Crore In Mumbai's Bandra: Report,Times Now,"Apr 13, 2024","The property is situated in the prestigious Bandra area of Mumbai, Pooja 
Hegde's new abode is nothing short of spectacular.",https://serpapi.com/searches/66afb6722ff4215091ad2aa7/images/1627403dc420c62e625f764d117f7fc6ffcc6be370da3f2a70af3e3a8a33df34.jpeg
6,https://www.freepressjournal.in/mumbai/mumbai-news-bandra-police-arrests-5-real-estate-developers-for-duping-widow-over-flat,Mumbai News: Bandra Police Arrests 5 Real Estate Developers For Duping Widow Over Flat,Free Press Journal,1 month ago,"As per sources, Lachman Sajnani is the father-in-law of actor Sonnalli 
Seygall, Anil Sajnani (also director of Bholenath Developers Ltd) is her...",https://serpapi.com/searches/66afb6722ff4215091ad2aa7/images/1627403dc420c62e03275fb04bc2cf16fdc642ac3f4b06103b7153f1b816adde.jpeg
7,https://media.biltrax.com/rustomjee-group-launches-the-panorama-at-pali-hill-mumbai/,Rustomjee Group Launches ‘The Panorama’ at Pali Hill in Mumbai’s Bandra,Biltrax Media,"May 9, 2024","Mumbai's leading real estate developer, Rustomjee Group , recently 
announced the launch of its new luxury residential project in Bandra's...",https://serpapi.com/searches/66afb6722ff4215091ad2aa7/images/1627403dc420c62ea65b9fb9e35ce812136f204178bcec6e706b31c99f08cf58.jpeg
8,https://infra.economictimes.indiatimes.com/news/urban-infrastructure/mumbai-coastal-road-leads-to-5-15-property-price-rise-in-western-suburbs/108793103,Mumbai Coastal Road leads to 5-15% property price rise in western suburbs,ET Infra,"Mar 26, 2024","Mumbai Coastal Road: According to stakeholders, the project has led to 
5-15% price appreciation in and around the Bandra-Andheri area in...",https://serpapi.com/searches/66afb6722ff4215091ad2aa7/images/1627403dc420c62efc0bb348543c30c3abde5c54346f151576e8b5f79b4a79da.jpeg
9,https://housing.com/news/k-l-rahul-wife-athiya-shetty-buy-property-worth-rs-20-cr-in-bandras-pali-hill/,"KL Rahul, Athiya Shetty buy property worth Rs 20 cr in Bandra",Housing,2 weeks ago,"The couple have paid a stamp duty of Rs 1.2 crore and a registration fees 
of Rs 30000 towards the property.",https://serpapi.com/searches/66afb6722ff4215091ad2aa7/images/1627403dc420c62e4da8e11ab4435a30ef729b43338cc1aca6dc020de87a42bf.jpeg
10,https://www.hindustantimes.com/real-estate/does-redevelopment-of-old-buildings-impact-housing-prices-and-rentals-in-mumbai-101718215378348.html,Does redevelopment of old buildings impact housing prices and rentals in Mumbai?,Hindustan Times,1 month ago,"Despite supply going up post COVID-19, realtors in Mumbai continue to find 
it lucrative to launch redevelopment projects as both prices and...",https://serpapi.com/searches/66afb6722ff4215091ad2aa7/images/1627403dc420c62e223a3070647a0c33d9319181759d01163b06fc2f8cd7e97f.jpeg
