position,link,title,source,date,snippet,thumbnail,locality
1,https://www.hindustantimes.com/real-estate/why-did-abhishek-bachchan-buy-two-252-sq-ft-apartments-in-mumbai-alongside-four-large-flats-on-the-same-floor-101719117561800.html,Why did Abhishek Bachchan buy two 252 sq ft apartments in Mumbai alongside four large flats on the same floor?,Hindustan Times,1 month ago,"Of the six apartments purchased by Abhishek Bachchan, two measure 252 sq 
ft, two are 1100 sq ft (carpet) and the remaining two are 1094 sq...",https://serpapi.com/searches/66afcbbfa5ad6d91b93bd688/images/05aa63f368b5448ef2b2c44279f9872a15adf03980da1e886d5bebb610023c50.jpeg,Fort
2,https://www.moneycontrol.com/news/business/real-estate/tata-digital-renews-lease-of-headquarters-at-mumbais-fort-house-for-rs-3-cr-monthly-rent-12747867.html,Tata Digital renews lease of headquarters at Mumbai's Fort House for Rs 3-cr monthly rent,Moneycontrol,1 month ago,"Tata Digital Private Limited (TDPL), a subsidiary of Tata Sons Private 
Limited, has renewed the lease of its headquarters in Fort, Mumbai...",https://serpapi.com/searches/66afcbbfa5ad6d91b93bd688/images/05aa63f368b5448e70048d01be4fd79ab76831925b3137169348600359fadfde.jpeg,Fort
3,https://timesofindia.indiatimes.com/city/mumbai/new-condos-in-sobo-command-premium-over-old-landmarks/articleshow/109483366.cms,New condos in SoBo command premium over old landmarks,Times of India,"Apr 22, 2024","Mumbai's real estate market evolves with a shift to modern highrises in 
traditional neighborhoods. Recent articles highlight building...",https://serpapi.com/searches/66afcbbfa5ad6d91b93bd688/images/05aa63f368b5448e46ccf363abaea764fd17d00796440becc181368938ffdb04.jpeg,Fort
4,https://www.thehindubusinessline.com/news/real-estate/despite-challenges-redevelopment-projects-in-mumbai-are-a-honeypot-for-builders/article68171310.ece,"Despite challenges, redevelopment projects in Mumbai are a honeypot for builders",The Hindu BusinessLine,"May 14, 2024","For a land-starved city, redevelopment is the only way for builders to get 
their hands on prime real estate in the financial capital.",https://serpapi.com/searches/66afcbbfa5ad6d91b93bd688/images/05aa63f368b5448e8cad7d72b702735a0982613b1b4bd1cd9b9cd8b436f2d3ae.jpeg,Fort
5,https://www.freepressjournal.in/mumbai/mumbai-to-witness-14-surge-in-office-spaces-with-21-million-sq-ft-grade-a-supply-by-2025-reports-property-share,Mumbai To Witness 14% Surge In Office Spaces With 21 Million Sq Ft Grade A Supply By 2025: Reports Property,Free Press Journal,"Jan 24, 2024","Avoid markets like Navi Mumbai and Thane unless prices are significantly 
attractive, campus style opportunities arise or there is a long...",https://serpapi.com/searches/66afcbbfa5ad6d91b93bd688/images/05aa63f368b5448e135057b5537005aada0eb3e960d59f56d70ec28ab3c345df.jpeg,Fort
6,https://www.zeebiz.com/real-estate/news-bharat-agri-fert-realty-to-focus-on-real-estate-hospitality-business-287890,"Bharat Agri Fert & Realty to focus on real estate, hospitality business",Zee Business,"May 2, 2024","It plans to build 3&4-BHK luxurious residential flats on the G+13 floor in 
Vile Parle and convert its existing premises at the fort into...",https://serpapi.com/searches/66afcbbfa5ad6d91b93bd688/images/05aa63f368b5448e55c6fb816f76a5238fe5539d14144368fcb3a6a72df16db0.jpeg,Fort
7,https://www.hindustantimes.com/real-estate/tata-digital-renews-lease-for-1-02-lakh-sq-ft-office-space-in-south-mumbai-at-a-monthly-rent-of-rs-3-crore-101718280212387.html,Tata Digital renews lease for its headquarters in South Mumbai at a monthly rent of ₹3 crore,Hindustan Times,1 month ago,"Mumbai real estate market: The commercial office space leased by Tata 
Digital is located in Fort area of South Mumbai. The monthly rent is...",https://serpapi.com/searches/66afcbbfa5ad6d91b93bd688/images/05aa63f368b5448ef1c0b2c2eb54ca8d4f2c3e10a131b241264dc665e1310a76.jpeg,Fort
8,https://housing.com/news/mhada-releases-list-of-20-dangerous-cessed-buildings-in-mumbai/,Mhada releases list of 20 dangerous cessed buildings in Mumbai,Housing,"May 30, 2024","May 30, 2024: The Mumbai Buildings Repairs and Reconstruction Board 
(MBRRB), a unit of Maharashtra Housing and Area Development Authority...",https://serpapi.com/searches/66afcbbfa5ad6d91b93bd688/images/05aa63f368b5448ef10bdee5a5085e7580e212075fb296252e633bf940a23572.jpeg,Fort
9,https://www.hindustantimes.com/real-estate/amitabh-bachchan-buys-land-in-alibaug-for-rs-10-cr-what-makes-the-beach-town-an-attractive-real-estate-destination-101713770881782.html,Kalki 2898 AD's actor Amitabh Bachchan buys land in Alibaug for ₹10 crore,Hindustan Times,"Apr 22, 2024","Kalki 2898 AD's actor Amitabh Bachchan has bought a 10000 sq ft land parcel 
in a 20-acre plotted development in Alibaug, sources said.",https://serpapi.com/searches/66afcbbfa5ad6d91b93bd688/images/05aa63f368b5448ec8d1a85c0c020ffb13261b380236ca22158ff5edbbc28bea.jpeg,Fort
10,https://timesofindia.indiatimes.com/city/mumbai/mumbai-underground-new-metro-to-link-byculla-crawford-fort-and-gateway/articleshow/107771346.cms,"Mumbai underground new metro to link Byculla, Crawford, Fort and Gateway",Times of India,"Feb 17, 2024","Mumbai's second underground metro corridor, Wadala-CSMT Metro 11, has had 
its route realigned to serve Byculla, Fort and the Gateway of...",https://serpapi.com/searches/66afcbbfa5ad6d91b93bd688/images/05aa63f368b5448eee3c50e38d3ef16d9aa693e35606dd6ff7fdf92343d20d1d.jpeg,Fort
